coord_id,coord_lon,coord_la,imzon,id,nam,cod
1,105.8412,21.0245,7:00:00,1581130,Hanoi,200
2,106.6667,10.8333,7:00:00,1580578,Ho Chi Minh Ciy,200
3,-74.006,40.7143,"-1 day, 20:00:00",5128581,Nw York,200
4,37.6156,55.7522,3:00:00,524901,Mocow,200
5,139.6917,35.6895,9:00:00,1850144,Tokyo,200
6,105.8412,21.0245,7:00:00,1581130,Hanoi,200
7,126.9778,37.5683,9:00:00,1835848,Soul,200
8,2.3488,48.8534,2:00:00,2988507,Pari,200
9,13.4105,52.5244,2:00:00,2950159,Brlin,200
10,-82.383,23.133,"-1 day, 20:00:00",3553478,Havana,200
11,105.8412,21.0245,7:00:00,1581130,Hanoi,200
12,105.8412,21.0245,7:00:00,1581130,Hanoi,200
